filename,score
CF437.jpg,2.883333
AM1384.jpg,2.466667
AM1234.jpg,2.15
AM1774.jpg,3.75
CF215.jpg,3.033333
AF1899.jpg,2.916667
AM704.jpg,2.483333
AM1172.jpg,2.266667
CM434.jpg,3.033333
CF228.jpg,2.75
AF1179.jpg,3.933333
AF64.jpg,2.3
AM230.jpg,2.25
AF734.jpg,2.95
AF280.jpg,2.583333
AF1705.jpg,3.133333
CF54.jpg,2.45
AM1931.jpg,3.833333
CM126.jpg,2.883333
AM550.jpg,2.466667
AF915.jpg,3.166667
AM765.jpg,2.716667
AF1934.jpg,2.45
AM1090.jpg,2.166667
AF1142.jpg,2.666667
AF1883.jpg,3.133333
AM1923.jpg,2.433333
AF1649.jpg,3.283333
CF23.jpg,4.166667
AF505.jpg,2.683333
CF318.jpg,2.45
AF791.jpg,2.683333
AM346.jpg,2.583333
AM1898.jpg,2.516667
AM1247.jpg,2.1
AF1544.jpg,3.033333
AF1217.jpg,3.216667
CM261.jpg,2.666667
AM486.jpg,2.416667
AM673.jpg,2.9
CM704.jpg,2.8
CF173.jpg,2.633333
AF538.jpg,3.133333
CF600.jpg,4.2
CF254.jpg,2.966667
CM381.jpg,2.983333
AM1224.jpg,2.533333
AM617.jpg,2.166667
AF1549.jpg,2.85
AM236.jpg,1.733333
AM1654.jpg,3.533333
CF339.jpg,3.2
AM483.jpg,2.033333
AF1889.jpg,3.833333
AF1960.jpg,2.383333
CM173.jpg,3.316667
CF357.jpg,3.033333
AM1574.jpg,3.383333
AM240.jpg,4.033333
AM646.jpg,2.166667
AF176.jpg,2.116667
AF200.jpg,2.333333
AF811.jpg,2.416667
CM198.jpg,2.583333
AF736.jpg,2.15
AM1532.jpg,2.7
AF1013.jpg,3.816667
AM350.jpg,2.35
AM79.jpg,2.433333
AM850.jpg,2.516667
CM676.jpg,4.016667
AF949.jpg,2.783333
AM1657.jpg,4.1
CF113.jpg,2.85
AF49.jpg,2.133333
AM862.jpg,2.483333
CF446.jpg,2.333333
AM1430.jpg,2.45
CM708.jpg,3.983333
AM122.jpg,3.25
AF883.jpg,3.166667
AM552.jpg,2.416667
AF1815.jpg,3.05
AM1369.jpg,2.583333
CM244.jpg,3.0
AM1823.jpg,2.733333
AF1163.jpg,3.133333
AF472.jpg,3.016667
AF796.jpg,2.566667
CM185.jpg,2.716667
AM901.jpg,2.533333
AM522.jpg,2.316667
AM1031.jpg,2.05
AF1895.jpg,3.8
AF1106.jpg,3.516667
AM1982.jpg,3.05
AM62.jpg,3.533333
AF1710.jpg,3.716667
AF469.jpg,2.883333
AF197.jpg,1.95
AM1716.jpg,3.95
CM566.jpg,2.616667
AM1284.jpg,2.366667
CF641.jpg,4.45
AF40.jpg,2.583333
AM714.jpg,2.866667
CF24.jpg,4.316667
AM332.jpg,2.666667
AF24.jpg,2.433333
AM578.jpg,2.316667
AM1908.jpg,2.1
CM680.jpg,3.266667
AF430.jpg,2.816667
AF1708.jpg,2.75
CM530.jpg,3.133333
AF581.jpg,2.866667
AF1881.jpg,3.633333
AM514.jpg,2.316667
CM380.jpg,2.666667
AF1798.jpg,3.466667
AF1547.jpg,4.0
CF614.jpg,3.5
CM511.jpg,2.6
CF734.jpg,3.9
AM948.jpg,2.916667
AM1477.jpg,2.5
CF124.jpg,3.0
AF1438.jpg,3.166667
AF285.jpg,2.916667
CM127.jpg,3.65
AM1600.jpg,4.233333
AF1170.jpg,4.283333
CF462.jpg,2.416667
AF1975.jpg,2.116667
CM657.jpg,4.083333
CM195.jpg,2.283333
AF194.jpg,2.783333
AF1087.jpg,2.766667
CM349.jpg,2.733333
AM739.jpg,1.983333
CF422.jpg,2.516667
AF516.jpg,2.766667
CM604.jpg,2.666667
AM1873.jpg,2.9
AF1838.jpg,3.516667
AM1749.jpg,3.033333
AM1005.jpg,2.45
CF220.jpg,3.116667
AF1861.jpg,3.883333
AM1831.jpg,3.516667
AM806.jpg,2.4
AF1047.jpg,3.65
AF1962.jpg,3.616667
AM1142.jpg,2.266667
AF584.jpg,2.566667
AM215.jpg,2.216667
AF7.jpg,2.566667
AM377.jpg,2.666667
AM1728.jpg,3.6
AF98.jpg,2.0
AM675.jpg,2.733333
CF551.jpg,4.45
AM416.jpg,2.75
AF1799.jpg,3.85
AF1205.jpg,4.133333
AM39.jpg,3.683333
CF420.jpg,3.7
AF544.jpg,2.216667
AM1623.jpg,3.4
AF750.jpg,3.5
AM436.jpg,3.166667
AM518.jpg,2.016667
AF71.jpg,2.7
AF1730.jpg,4.066667
CF467.jpg,2.916667
AM1476.jpg,2.666667
AF530.jpg,2.833333
AF1123.jpg,2.516667
AM359.jpg,2.366667
AM1764.jpg,3.416667
AM1656.jpg,3.633333
CM412.jpg,3.233333
AM565.jpg,2.35
CM82.jpg,2.65
CF385.jpg,3.666667
AF1251.jpg,3.683333
CM253.jpg,2.266667
AF1725.jpg,3.366667
AM1278.jpg,2.133333
AF504.jpg,2.283333
AM338.jpg,3.683333
AF61.jpg,2.366667
AF1122.jpg,3.6
AM993.jpg,2.283333
